Name,Links
🔷Youtube,
1. JavaScript Tutorial for Beginners: Learn JavaScript in 1 Hour,https://www.youtube.com/watch?v=W6NZfCO5SIk
2. Awesome Playlist of JavaScript,https://www.youtube.com/playlist?list=PLRAV69dS1uWSxUIk5o3vQY2-_VKsOpXLD
3. Namaste Javascript,https://www.youtube.com/playlist?list=PLlasXeu85E9cQ32gLCvAvr9vNaUccPVNP
4. JavaScript Crash Course - Learn JavaScript in 2021,https://www.youtube.com/watch?v=g7T23Xzys-A
,
🔷Website,
5. learn-js,https://www.learn-js.org/
6. freecodecamp,https://www.freecodecamp.org/learn/
7.learnjavascript.online,https://learnjavascript.online/
" 8. Javascript .info",https://javascript.info/
9. w3schools,https://www.w3schools.com/js/
10. Mdn Docs,https://developer.mozilla.org/en-US/docs/Learn/JavaScript
11. JS For Cats,http://jsforcats.com/
,
🔷 Twitter Thread,
12. Javascript learning path for a beginner!,https://twitter.com/DThompsonDev/status/1405351083250229248?s=20
13. Detailed Explanation on JavaScript for Web Development,https://twitter.com/Prathkum/status/1406298132737150976?s=19
14. Free JavaScript Roadmap For Learning the fundamentals,https://twitter.com/VladPasca5/status/1375085057526796292?s=19
15. 20 free JavaScript e-books:,https://twitter.com/sunilc_/status/1404782412047867904?s=19
16. 10 Best Github repositories for all web developers:,https://twitter.com/sunilc_/status/1401902233478828038?s=19
17. Visual JavaScript tips and explanations,https://twitter.com/oliverjumpertz/status/1401839016555782145
18. 2021 Complete JavaScript Developer Roadmap,https://twitter.com/_georgemoller/status/1417123245652840448?s=19
19. Learn JavaScript 6 Weeks Plan,https://twitter.com/sleeplessyogi/status/1331887771116392448?s=19
