Name,Links
Official Website,tailwindcss.com
,
🔷Youtube,
1. Tailwind Labs,https://www.youtube.com/c/TailwindLabs
2. Tailwind CSS Tutorial,https://www.youtube.com/playlist?list=PL4cUxeGkcC9gpXORlEHjc5bgnIi5HEGhw
3. Tailwind CSS Crash Course,https://www.youtube.com/watch?v=UBOj6rqRUME
,
🔷Website,
4. Learn Tailwind CSS - A Beginner's Guide,http://wsvincent.com/learn-tailwind-css-beginners-guide/
5. Tailwind CSS tutorial - Learn how to build websites using a utility-first CSS framework,https://themesberg.com/blog/tailwind-css/tutorial
