Name,Links
🔷 Youtube,
1. Introduction to Web Development,https://www.youtube.com/watch?v=HfTXHrWMGVY
2. HTML Tutorials for Beginners [2021],https://www.youtube.com/watch?v=qz0aGYrrlhU
3. HTML Crash Course For Absolute Beginners,https://www.youtube.com/watch?v=UB1O30fR-EE
,
🔷Website,
4. Mdn Docs,https://developer.mozilla.org/en-US/docs/Learn/HTML/Introduction_to_HTML
5. w3schools,https://www.w3schools.com/html/default.asp
,
🔷 Twitter Thread,
HTML Roadmap by George Moller,https://twitter.com/_georgemoller/status/1388874423797784581?s=20
