Name,Links
🔷Youtube,
1. CSS Tutorial - Zero to Hero.,https://www.youtube.com/watch?v=1Rs2ND1ryYc
2. CSS Crash Course for Absolute Beginners.,https://www.youtube.com/watch?v=yfoY53QXEnI
3. Learn CSS in 20 Minutes.,https://www.youtube.com/watch?v=1PnVor36_40
4. CSS-Tricks,https://css-tricks.com/guides/
,
🔷Website,
5. w3schools,https://www.w3schools.com/css/
6. CSS By Google,https://web.dev/learn/css/
,
🔷Twitter Thread,
7. CSS Roadmap By George Moller,https://twitter.com/_georgemoller/status/1385631721362702336?s=20
