Name,Tags
Official Website:," http://svelte.dev"
,
🔷Youtube,
1. Svelte Tutorial for Beginners,https://www.youtube.com/playlist?list=PL4cUxeGkcC9hlbrVO_2QFVqVPhlZmz7tO
2. Svelte Crash Course,https://www.youtube.com/watch?v=uK2RnIzrQ0M
3. Learn the Svelte JavaScript Framework - Full Course,https://www.youtube.com/watch?v=ujbE0mzX-CU
4. Svelte 3 Reaction & QuickStart Tutorial,https://www.youtube.com/watch?v=043h4ugAj4c
,
🔷 Website,
4. Getting started with Svelte,https://developer.mozilla.org/en-US/docs/Learn/Tools_and_testing/Client-side_JavaScript_frameworks/Svelte_getting_started
5. Svelte,https://svelte.dev/tutorial/basics
